.1.3.6.1.4.1.4458.1000.1.1.1.0 "PTMP SU"
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.69 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.70 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.71 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.72 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.73 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.74 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.75 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.76 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.77 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.78 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.79 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.80 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.81 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.82 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.83 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.84 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.85 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.86 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.87 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.88 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.89 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.90 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.91 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.92 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.93 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.94 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.95 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.96 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.97 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.98 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.99 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.100 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.3.1 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.3.2 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.3.3 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.3.4 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.3.5 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.3.6 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.3.7 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.3.8 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.3.9 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.3.10 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.3.11 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.3.12 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.3.13 0.0.0.0
